Puzzle,Answer
Puzzle,Answer
"SHIFT, TAB, RETURN, OPTION, HEAT, BUCKS, JAZZ, NETS, LEVEL, KAYAK, RACECAR, MOM, SNOW, HAIL, RAIN, SLEET","SHIFT, TAB, RETURN, OPTION"
"SHIFT, TAB, RETURN, OPTION, HEAT, BUCKS, JAZZ, NETS, LEVEL, KAYAK, RACECAR, MOM, SNOW, HAIL, RAIN, SLEET","SHIFT, TAB, RETURN, OPTION"
"SHIFT, TAB, RETURN, OPTION, HEAT, BUCKS, JAZZ, NETS, LEVEL, KAYAK, RACECAR, MOM, SNOW, HAIL, RAIN, SLEET","HEAT, BUCKS, JAZZ, NETS"
"SHIFT, TAB, RETURN, OPTION, HEAT, BUCKS, JAZZ, NETS, LEVEL, KAYAK, RACECAR, MOM, SNOW, HAIL, RAIN, SLEET","LEVEL, KAYAK, RACECAR, MOM"
"SHIFT, TAB, RETURN, OPTION, HEAT, BUCKS, JAZZ, NETS, LEVEL, KAYAK, RACECAR, MOM, SNOW, HAIL, RAIN, SLEET","SNOW, HAIL, RAIN, SLEET"
"PUMP, LOAFER, BOOT, SNEAKER, SEA, WHY, ARE, QUEUE, TIME, US, PEOPLE, ESSENCE, FOOT, LEAGUE, YARD, MILE","PUMP, LOAFER, BOOT, SNEAKER"
"PUMP, LOAFER, BOOT, SNEAKER, SEA, WHY, ARE, QUEUE, TIME, US, PEOPLE, ESSENCE, FOOT, LEAGUE, YARD, MILE","SEA, WHY, ARE, QUEUE"
"PUMP, LOAFER, BOOT, SNEAKER, SEA, WHY, ARE, QUEUE, TIME, US, PEOPLE, ESSENCE, FOOT, LEAGUE, YARD, MILE","TIME, US, PEOPLE, ESSENCE"
"PUMP, LOAFER, BOOT, SNEAKER, SEA, WHY, ARE, QUEUE, TIME, US, PEOPLE, ESSENCE, FOOT, LEAGUE, YARD, MILE","FOOT, LEAGUE, YARD, MILE"
"LAB, POM, PIT, PEKE, MOUTH, NOSE, EYE, CHEEK, AMIGO, STOOGE, KING, TENOR, WOLF, CHOW, SCARF, GOBBLE","LAB, POM, PIT, PEKE"
"LAB, POM, PIT, PEKE, MOUTH, NOSE, EYE, CHEEK, AMIGO, STOOGE, KING, TENOR, WOLF, CHOW, SCARF, GOBBLE","MOUTH, NOSE, EYE, CHEEK"
"LAB, POM, PIT, PEKE, MOUTH, NOSE, EYE, CHEEK, AMIGO, STOOGE, KING, TENOR, WOLF, CHOW, SCARF, GOBBLE","AMIGO, STOOGE, KING, TENOR"
"LAB, POM, PIT, PEKE, MOUTH, NOSE, EYE, CHEEK, AMIGO, STOOGE, KING, TENOR, WOLF, CHOW, SCARF, GOBBLE","WOLF, CHOW, SCARF, GOBBLE"
"DUST, MOP, SWEEP, VACUUM, CATS, CAROUSEL, CHICAGO, CABARET, PUMA, NIKE, REEBOK, ADIDAS, SPIDER, IRON, SUPER, BAT","DUST, MOP, SWEEP, VACUUM"
"DUST, MOP, SWEEP, VACUUM, CATS, CAROUSEL, CHICAGO, CABARET, PUMA, NIKE, REEBOK, ADIDAS, SPIDER, IRON, SUPER, BAT","CATS, CAROUSEL, CHICAGO, CABARET"
"DUST, MOP, SWEEP, VACUUM, CATS, CAROUSEL, CHICAGO, CABARET, PUMA, NIKE, REEBOK, ADIDAS, SPIDER, IRON, SUPER, BAT","PUMA, NIKE, REEBOK, ADIDAS"
"DUST, MOP, SWEEP, VACUUM, CATS, CAROUSEL, CHICAGO, CABARET, PUMA, NIKE, REEBOK, ADIDAS, SPIDER, IRON, SUPER, BAT","SPIDER, IRON, SUPER, BAT"
